Co-Occurring Word,Percent Co-Occurrence,word
democrat,15.846994535519126,election
great,14.89071038251366,election
vote,13.25136612021858,election
state,12.021857923497267,election
rigged,12.021857923497267,election
win,11.612021857923498,election
trump,11.612021857923498,election
people,10.92896174863388,election
fake,10.245901639344263,election
big,10.245901639344263,election
2020,10.10928961748634,election
country,9.836065573770492,election
2016,9.836065573770492,election
republican,9.562841530054644,election
president,9.289617486338798,election
news,9.153005464480875,election
ballot,8.060109289617486,election
even,7.923497267759563,election
never,7.923497267759563,election
get,7.650273224043716,election
many,7.377049180327869,election
medium,7.377049180327869,election
day,7.377049180327869,election
poll,7.377049180327869,election
want,6.830601092896176,election
great,51.83537263626251,america
make,37.04115684093437,america
thank,12.013348164627363,america
people,8.898776418242491,america
get,8.78754171301446,america
together,8.565072302558399,america
country,8.453837597330367,america
state,8.120133481646272,america
first,8.120133481646272,america
vote,7.675194660734149,america
job,7.563959955506118,america
american,7.452725250278086,america
keep,7.230255839822025,america
never,7.007786429365963,america
year,6.896551724137931,america
day,6.7853170189099,america
back,6.7853170189099,america
going,6.562847608453838,america
president,6.451612903225806,america
today,6.229143492769744,america
big,6.229143492769744,america
democrat,6.0066740823136815,america
safe,5.784204671857619,america
united,5.561735261401557,america
new,5.450500556173527,america
sander,47.76119402985074,bernie
crazy,30.597014925373134,bernie
hillary,21.641791044776117,bernie
crooked,19.402985074626866,bernie
joe,17.91044776119403,bernie
democrat,16.417910447761194,bernie
like,15.671641791044777,bernie
dnc,14.17910447761194,bernie
sleepy,13.432835820895523,bernie
would,12.686567164179104,bernie
want,11.940298507462686,bernie
biden,11.940298507462686,bernie
clinton,11.940298507462686,bernie
supporter,10.44776119402985,bernie
great,9.701492537313433,bernie
nomination,9.701492537313433,bernie
time,9.701492537313433,bernie
bad,9.701492537313433,bernie
warren,8.955223880597014,bernie
people,8.955223880597014,bernie
last,8.208955223880597,bernie
elizabeth,8.208955223880597,bernie
rigged,8.208955223880597,bernie
even,7.462686567164178,bernie
state,7.462686567164178,bernie
like,100.0,blm
symbol,50.0,blm
biden,50.0,blm
say,50.0,blm
bacon,50.0,blm
scorned,50.0,blm
money,50.0,blm
crime,50.0,blm
food,50.0,blm
plate,50.0,blm
pig,50.0,blm
police,50.0,blm
elderly,50.0,blm
fry,50.0,blm
maybe,50.0,blm
pittsburgh,50.0,blm
affixed,50.0,blm
nothing,50.0,blm
taunt,50.0,blm
seen,50.0,blm
em,50.0,blm
never,50.0,blm
taking,50.0,blm
hate,50.0,blm
fighting,50.0,blm
trade,18.28793774319066,china
president,17.898832684824903,china
great,17.704280155642024,china
deal,16.731517509727624,china
country,16.147859922178988,china
tariff,15.758754863813229,china
much,12.645914396887159,china
year,12.645914396887159,china
good,11.089494163424124,china
many,10.894941634241246,china
billion,10.700389105058365,china
xi,10.311284046692606,china
want,10.116731517509727,china
state,10.116731517509727,china
biden,9.72762645914397,china
